# ---- session start 2026-06-19T14:50:29+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:50:32.526 tasks started
2026-06-19T14:50:32.530 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:50:32.533 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:50:56.890 196.2,135.8,-45.8,24.32,1492, 3
2026-06-19T14:50:56.990 198.1,135.6,-45.6,25.36,1466, 3
2026-06-19T14:50:57.090 198.2,135.9,-45.9,24.28,1493, 3
2026-06-19T14:50:57.190 197.8,137.3,-47.3,25.64,1459, 3
2026-06-19T14:50:57.290 198.9,136.7,-46.7,26.24,1444, 3
2026-06-19T14:50:57.390 200.0,135.8,-45.8,27.68,1408, 3
2026-06-19T14:50:57.490 199.2,137.7,-47.7,25.44,1464, 3
2026-06-19T14:50:57.590 199.0,138.8,-48.8,26.80,1430, 3
2026-06-19T14:50:57.690 201.2,138.7,-48.7,26.20,1445, 3
2026-06-19T14:50:57.790 203.5,137.3,-47.3,28.36,1391, 3
2026-06-19T14:50:57.890 205.0,137.9,-47.9,28.48,1388, 3
2026-06-19T14:50:57.990 206.6,137.4,-47.4,29.12,1372, 3
2026-06-19T14:50:58.090 207.1,137.8,-47.8,28.32,1392, 3
2026-06-19T14:50:58.190 206.9,137.5,-47.5,26.20,1445, 3
2026-06-19T14:50:58.290 207.7,135.3,-45.3,26.92,1427, 3
2026-06-19T14:50:58.390 209.3,134.2,-44.2,28.48,1388, 3
2026-06-19T14:50:58.490 208.9,135.8,-45.8,29.24,1369, 3
2026-06-19T14:50:58.595 208.3,137.2,-47.2,27.48,1413, 3
2026-06-19T14:50:58.695 208.3,138.8,-48.8,26.76,1431, 3
2026-06-19T14:50:58.795 210.6,138.6,-48.6,25.92,1452, 3
2026-06-19T14:50:58.895 213.2,138.0,-48.0,27.32,1417, 3
2026-06-19T14:50:58.995 215.4,137.6,-47.6,28.36,1391, 3
2026-06-19T14:50:59.095 218.0,137.4,-47.4,27.16,1421, 3
2026-06-19T14:50:59.195 220.6,136.5,-46.5,30.12,1347, 3
2026-06-19T14:50:59.295 221.7,135.6,-45.6,29.60,1360, 3
2026-06-19T14:50:59.395 222.6,134.7,-44.7,30.96,1326, 3
2026-06-19T14:50:59.495 223.7,134.8,-44.8,29.56,1361, 3
2026-06-19T14:50:59.595 224.8,136.1,-46.1,28.76,1381, 3
2026-06-19T14:50:59.695 227.4,135.8,-45.8,31.36,1316, 3
2026-06-19T14:50:59.795 229.2,136.2,-46.2,29.52,1362, 3
2026-06-19T14:50:59.895 230.7,136.7,-46.7,28.44,1389, 3
2026-06-19T14:50:59.995 231.3,138.0,-48.0,28.32,1392, 3
2026-06-19T14:51:00.095 233.0,137.0,-47.0,29.44,1364, 3
2026-06-19T14:51:00.195 234.2,137.1,-47.1,28.48,1388, 3
2026-06-19T14:51:00.295 235.9,135.4,-45.4,28.44,1389, 3
2026-06-19T14:51:00.395 237.7,134.9,-44.9,29.56,1361, 3
2026-06-19T14:51:00.495 238.4,135.4,-45.4,29.40,1365, 3
2026-06-19T14:51:00.600 238.7,137.1,-47.1,30.80,1330, 3
2026-06-19T14:51:00.700 238.9,137.6,-47.6,30.92,1327, 3
2026-06-19T14:51:00.800 239.6,138.3,-48.3,30.04,1349, 3
