# ---- session start 2026-06-19T14:00:10+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:00:11.949 BOOT
2026-06-19T14:00:13.450  
2026-06-19T14:00:13.453  
2026-06-19T14:00:13.455 >> CodeCell C6 v2.0.6 Booting.. 
2026-06-19T14:00:13.767 >> Initializing Sensors: Compass-Free Rotation Sensing Activated | 
2026-06-19T14:00:14.022 >> Reading Sensors:  Roll: 99.62°, Pitch: -98.40°, Yaw: -102.30° |
2026-06-19T14:00:14.025 >> Sampling Rate: 10Hz
2026-06-19T14:00:14.027 >> Power Status: Running from USB Power
2026-06-19T14:00:22.031 tasks started
2026-06-19T14:00:22.034 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:00:22.036 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:00:33.661 86.7,180.0,-94.5,48.16,896, 3
2026-06-19T14:00:33.762 88.9,180.0,-96.9,48.12,897, 3
2026-06-19T14:00:33.861 90.0,180.0,-97.0,48.16,896, 3
2026-06-19T14:00:33.962 88.2,180.0,-94.7,48.24,894, 3
2026-06-19T14:00:34.067 87.6,180.0,-93.6,48.16,896, 3
2026-06-19T14:00:34.166 88.4,180.0,-93.6,48.36,891, 3
2026-06-19T14:00:34.267 88.9,180.0,-92.1,48.60,885, 3
2026-06-19T14:00:34.366 91.7,180.0,-91.4,48.08,898, 3
2026-06-19T14:00:34.466 94.5,180.0,-92.7,48.40,890, 3
2026-06-19T14:00:34.566 94.9,180.0,-92.6,48.20,895, 3
2026-06-19T14:00:34.667 95.4,180.0,-91.7,48.12,897, 3
2026-06-19T14:00:34.767 96.4,180.0,-91.1,48.00,900, 3
2026-06-19T14:00:34.867 96.4,180.0,-90.6,48.16,896, 3
2026-06-19T14:00:34.967 94.9,180.0,-90.5,48.28,893, 3
2026-06-19T14:00:35.067 95.0,180.0,-90.3,48.48,888, 3
2026-06-19T14:00:35.167 96.0,180.0,-91.3,48.36,891, 3
2026-06-19T14:00:35.266 96.5,180.0,-90.8,48.24,894, 3
2026-06-19T14:00:35.366 98.5,180.0,-90.7,48.36,891, 3
2026-06-19T14:00:35.466 100.9,180.0,-92.0,48.00,900, 3
2026-06-19T14:00:35.567 101.0,180.0,-91.7,48.28,893, 3
2026-06-19T14:00:35.667 101.8,180.0,-90.7,48.08,898, 3
2026-06-19T14:00:35.767 102.9,180.0,-92.3,48.56,886, 3
2026-06-19T14:00:35.867 102.5,180.0,-92.6,48.32,892, 3
2026-06-19T14:00:35.967 102.6,180.0,-91.4,48.76,881, 3
2026-06-19T14:00:36.072 104.4,180.0,-91.4,48.40,890, 3
2026-06-19T14:00:36.171 106.3,180.0,-90.9,48.04,899, 3
2026-06-19T14:00:36.272 108.4,180.0,-91.1,48.32,892, 3
2026-06-19T14:00:36.371 109.9,180.0,-91.8,48.24,894, 3
2026-06-19T14:00:36.472 110.6,180.0,-92.2,48.16,896, 3
2026-06-19T14:00:36.572 111.3,180.0,-91.9,47.60,910, 3
2026-06-19T14:00:36.672 111.8,180.0,-92.0,47.80,905, 3
2026-06-19T14:00:36.772 112.5,180.0,-92.0,47.68,908, 3
2026-06-19T14:00:36.871 113.1,180.0,-92.0,47.96,901, 3
2026-06-19T14:00:36.972 114.3,180.0,-92.6,47.72,907, 3
2026-06-19T14:00:37.072 116.6,180.0,-92.2,47.92,902, 3
2026-06-19T14:00:37.171 119.8,180.0,-92.6,47.72,907, 3
2026-06-19T14:00:37.271 122.0,180.0,-93.3,47.68,908, 3
2026-06-19T14:00:37.372 121.8,180.0,-93.0,48.24,894, 3
2026-06-19T14:00:37.472 121.2,180.0,-93.1,47.48,913, 3
2026-06-19T14:00:37.571 122.0,180.0,-93.5,47.52,912, 3
2026-06-19T14:00:37.672 120.6,180.0,-94.8,47.68,908, 3
2026-06-19T14:00:37.772 120.0,180.0,-95.2,47.52,912, 3
2026-06-19T14:00:37.872 121.0,180.0,-95.6,47.68,908, 3
2026-06-19T14:00:37.972 123.1,180.0,-95.7,47.64,909, 3
2026-06-19T14:00:38.076 125.2,180.0,-95.5,47.20,920, 3
2026-06-19T14:00:38.176 126.9,180.0,-96.4,46.64,934, 3
2026-06-19T14:00:38.277 127.9,180.0,-96.6,46.64,934, 3
2026-06-19T14:00:38.377 129.3,180.0,-96.6,46.96,926, 3
2026-06-19T14:00:38.477 129.5,180.0,-97.3,46.44,939, 3
2026-06-19T14:00:38.577 129.5,180.0,-96.6,46.32,942, 3
2026-06-19T14:00:38.677 130.3,180.0,-96.5,46.20,945, 3
2026-06-19T14:00:38.777 131.4,180.0,-95.7,45.84,954, 3
2026-06-19T14:00:38.876 132.6,180.0,-94.6,45.84,954, 3
2026-06-19T14:00:38.976 134.6,180.0,-94.4,45.24,969, 3
2026-06-19T14:00:39.077 135.8,180.0,-95.3,45.32,967, 3
2026-06-19T14:00:39.177 136.1,180.0,-95.7,45.16,971, 3
2026-06-19T14:00:39.277 136.5,180.0,-95.9,45.52,962, 3
2026-06-19T14:00:39.377 136.3,180.0,-96.6,45.20,970, 3
2026-06-19T14:00:39.477 135.4,180.0,-96.5,44.92,977, 3
2026-06-19T14:00:39.576 135.7,180.0,-96.4,45.24,969, 3
2026-06-19T14:00:39.677 136.5,180.0,-96.9,44.80,980, 3
2026-06-19T14:00:39.777 137.8,180.0,-96.5,45.04,974, 3
2026-06-19T14:00:39.877 139.9,180.0,-96.8,44.76,981, 3
2026-06-19T14:00:39.977 142.5,180.0,-97.0,44.68,983, 3
2026-06-19T14:00:40.082 144.0,180.0,-97.6,44.12,997, 3
2026-06-19T14:00:40.181 145.1,180.0,-98.0,44.04,999, 3
2026-06-19T14:00:40.282 146.1,180.0,-98.3,44.04,999, 3
2026-06-19T14:00:40.381 146.6,180.0,-99.1,43.28,1018, 3
2026-06-19T14:00:40.481 146.9,180.0,-99.5,43.20,1020, 3
2026-06-19T14:00:40.582 147.8,180.0,-99.7,42.68,1033, 3
2026-06-19T14:00:40.681 148.9,180.0,-99.9,42.60,1035, 3
2026-06-19T14:00:40.781 149.7,180.0,-100.5,42.28,1043, 3
2026-06-19T14:00:40.881 150.7,180.0,-100.5,42.48,1038, 3
2026-06-19T14:00:40.981 151.6,180.0,-100.8,42.04,1049, 3
2026-06-19T14:00:41.082 152.1,180.0,-101.1,41.56,1061, 3
2026-06-19T14:00:41.181 152.8,180.0,-100.9,41.40,1065, 3
2026-06-19T14:00:41.282 153.9,180.0,-100.8,41.24,1069, 3
2026-06-19T14:00:41.382 154.8,180.0,-100.9,41.52,1062, 3
2026-06-19T14:00:41.482 155.8,180.0,-100.8,40.76,1081, 3
2026-06-19T14:00:41.582 155.8,180.0,-101.4,40.84,1079, 3
2026-06-19T14:00:41.681 156.1,180.0,-101.5,40.52,1087, 3
2026-06-19T14:00:41.781 156.5,180.0,-101.3,41.20,1070, 3
2026-06-19T14:00:41.882 157.3,180.0,-101.3,40.88,1078, 3
2026-06-19T14:00:41.982 158.0,180.0,-101.4,40.84,1079, 3
2026-06-19T14:00:42.086 158.5,180.0,-101.6,40.16,1096, 3
2026-06-19T14:00:42.186 158.8,180.0,-102.0,39.72,1107, 3
2026-06-19T14:00:42.287 157.9,180.0,-104.8,40.16,1096, 3
2026-06-19T14:00:42.386 156.8,180.0,-106.4,39.52,1112, 3
