# ---- session start 2026-06-19T14:15:36+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:15:43.503 tasks started
2026-06-19T14:15:43.506 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:15:43.508 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:15:55.838 113.7,180.0,-91.8,45.84,954, 3
2026-06-19T14:15:55.938 115.8,180.0,-90.7,45.52,962, 3
2026-06-19T14:15:56.038 116.9,180.0,-90.8,45.96,951, 3
2026-06-19T14:15:56.138 118.0,180.0,-91.1,45.28,968, 3
2026-06-19T14:15:56.238 118.6,180.0,-92.0,45.12,972, 3
2026-06-19T14:15:56.338 120.4,180.0,-92.2,44.92,977, 3
2026-06-19T14:15:56.438 122.9,180.0,-92.1,45.04,974, 3
2026-06-19T14:15:56.538 125.8,180.0,-92.3,44.76,981, 3
2026-06-19T14:15:56.638 129.0,180.0,-92.3,44.84,979, 3
2026-06-19T14:15:56.738 131.7,180.0,-92.5,44.64,984, 3
2026-06-19T14:15:56.838 133.6,180.0,-92.2,44.44,989, 3
2026-06-19T14:15:56.938 134.5,180.0,-91.5,44.20,995, 3
2026-06-19T14:15:57.037 134.0,180.0,-91.4,43.80,1005, 3
2026-06-19T14:15:57.138 133.1,180.0,-91.2,42.84,1029, 3
2026-06-19T14:15:57.238 131.6,180.0,-91.9,42.64,1034, 3
2026-06-19T14:15:57.338 131.5,180.0,-91.4,42.28,1043, 3
2026-06-19T14:15:57.438 131.2,180.0,-91.8,42.36,1041, 3
2026-06-19T14:15:57.543 131.5,180.0,-92.2,42.44,1039, 3
2026-06-19T14:15:57.643 132.1,180.0,-93.0,42.44,1039, 3
2026-06-19T14:15:57.742 134.0,180.0,-93.0,42.48,1038, 3
2026-06-19T14:15:57.843 136.7,180.0,-92.5,42.60,1035, 3
2026-06-19T14:15:57.943 139.6,180.0,-92.1,42.60,1035, 3
2026-06-19T14:15:58.043 142.3,180.0,-91.5,42.16,1046, 3
2026-06-19T14:15:58.143 143.7,180.0,-91.5,43.24,1019, 3
2026-06-19T14:15:58.243 144.7,180.0,-91.1,43.04,1024, 3
2026-06-19T14:15:58.343 144.5,180.0,-91.3,43.80,1005, 3
2026-06-19T14:15:58.443 145.3,180.0,-90.8,43.68,1008, 3
2026-06-19T14:15:58.543 145.8,180.0,-91.1,44.04,999, 3
2026-06-19T14:15:58.643 146.9,180.0,-91.1,44.84,979, 3
2026-06-19T14:15:58.743 147.6,180.0,-92.0,45.20,970, 3
2026-06-19T14:15:58.843 148.9,180.0,-92.6,45.16,971, 3
2026-06-19T14:15:58.943 150.5,180.0,-93.4,45.76,956, 3
2026-06-19T14:15:59.043 153.4,180.0,-92.7,45.20,970, 3
2026-06-19T14:15:59.143 156.0,180.0,-92.2,45.56,961, 3
2026-06-19T14:15:59.243 158.4,180.0,-91.4,45.08,973, 3
2026-06-19T14:15:59.343 159.4,180.0,-91.5,45.04,974, 3
2026-06-19T14:15:59.443 160.3,180.0,-91.4,44.88,978, 3
2026-06-19T14:15:59.548 161.5,180.0,-91.2,44.96,976, 3
2026-06-19T14:15:59.648 162.8,180.0,-91.0,44.96,976, 3
2026-06-19T14:15:59.748 164.2,180.0,-90.7,45.60,960, 3
2026-06-19T14:15:59.848 165.5,180.0,-90.9,45.52,962, 3
2026-06-19T14:15:59.948 165.9,180.0,-91.8,45.72,957, 3
2026-06-19T14:16:00.048 166.3,180.0,-93.0,45.72,957, 3
2026-06-19T14:16:00.148 167.0,180.0,-94.0,45.28,968, 3
2026-06-19T14:16:00.248 167.7,180.0,-94.1,45.24,969, 3
2026-06-19T14:16:00.348 167.2,180.0,-94.2,46.40,940, 3
2026-06-19T14:16:00.447 166.4,180.0,-93.9,46.24,944, 3
2026-06-19T14:16:00.548 167.1,180.0,-91.5,45.80,955, 3
2026-06-19T14:16:00.649 167.5,180.0,-90.1,46.40,940, 3
2026-06-19T14:16:00.748 169.0,179.5,-89.5,45.60,960, 3
2026-06-19T14:16:00.848 172.3,179.2,-89.2,46.36,941, 3
2026-06-19T14:16:00.948 175.8,179.9,-89.9,46.08,948, 3
2026-06-19T14:16:01.048 180.0,179.8,-89.8,46.16,946, 3
2026-06-19T14:16:01.148 182.8,180.0,-90.6,45.68,958, 3
2026-06-19T14:16:01.248 183.6,180.0,-92.2,45.60,960, 3
2026-06-19T14:16:01.348 183.7,180.0,-93.2,45.40,965, 3
2026-06-19T14:16:01.448 184.5,180.0,-93.3,45.08,973, 3
2026-06-19T14:16:01.553 185.8,180.0,-93.5,44.68,983, 3
2026-06-19T14:16:01.653 189.5,180.0,-92.0,44.64,984, 3
2026-06-19T14:16:01.753 191.5,180.0,-93.5,44.00,1000, 3
2026-06-19T14:16:01.853 196.0,180.0,-91.9,43.84,1004, 3
2026-06-19T14:16:01.953 199.2,180.0,-91.2,44.08,998, 3
2026-06-19T14:16:02.052 202.3,179.5,-89.5,44.04,999, 3
2026-06-19T14:16:02.153 203.1,179.7,-89.7,43.52,1012, 3
2026-06-19T14:16:02.253 203.4,179.5,-89.5,44.12,997, 3
2026-06-19T14:16:02.353 203.3,179.6,-89.6,43.84,1004, 3
2026-06-19T14:16:02.453 201.9,180.0,-91.0,43.52,1012, 3
2026-06-19T14:16:02.553 202.9,179.9,-89.9,43.68,1008, 3
2026-06-19T14:16:02.653 204.4,179.5,-89.5,43.80,1005, 3
2026-06-19T14:16:02.753 206.5,179.3,-89.3,44.16,996, 3
2026-06-19T14:16:02.853 208.4,179.9,-89.9,44.36,991, 3
2026-06-19T14:16:02.953 210.8,179.4,-89.4,44.44,989, 3
2026-06-19T14:16:03.053 212.2,179.3,-89.3,44.32,992, 3
2026-06-19T14:16:03.152 213.2,179.2,-89.2,44.08,998, 3
2026-06-19T14:16:03.253 212.1,180.0,-91.7,44.04,999, 3
2026-06-19T14:16:03.353 213.9,180.0,-90.3,43.80,1005, 3
2026-06-19T14:16:03.453 213.2,180.0,-91.7,43.76,1006, 3
2026-06-19T14:16:03.558 213.4,180.0,-92.2,43.88,1003, 3
2026-06-19T14:16:03.658 214.1,180.0,-91.8,44.24,994, 3
2026-06-19T14:16:03.758 215.0,180.0,-90.1,44.40,990, 3
2026-06-19T14:16:03.858 215.2,179.3,-89.3,44.08,998, 3
2026-06-19T14:16:03.957 215.2,179.4,-89.4,44.00,1000, 3
2026-06-19T14:16:04.058 216.1,179.3,-89.3,43.40,1015, 3
2026-06-19T14:16:04.158 217.3,179.8,-89.8,42.52,1037, 3
2026-06-19T14:16:04.257 219.0,180.0,-90.0,41.68,1058, 3
2026-06-19T14:16:04.358 219.1,180.0,-91.4,41.72,1057, 3
2026-06-19T14:16:04.458 218.2,180.0,-92.6,41.28,1068, 3
2026-06-19T14:16:04.558 217.8,180.0,-92.3,41.48,1063, 3
2026-06-19T14:16:04.658 217.3,180.0,-92.4,41.92,1052, 3
2026-06-19T14:16:04.758 218.9,180.0,-91.7,41.20,1070, 3
2026-06-19T14:16:04.857 220.8,180.0,-92.5,41.28,1068, 3
2026-06-19T14:16:04.958 225.1,180.0,-91.4,41.84,1054, 3
2026-06-19T14:16:05.058 228.2,180.0,-92.0,41.68,1058, 3
2026-06-19T14:16:05.158 232.1,180.0,-90.6,41.88,1053, 3
2026-06-19T14:16:05.257 233.8,180.0,-90.4,42.36,1041, 3
2026-06-19T14:16:05.358 233.4,180.0,-91.3,42.36,1041, 3
2026-06-19T14:16:05.458 232.4,180.0,-91.8,41.96,1051, 3
2026-06-19T14:16:05.563 231.1,180.0,-92.1,41.08,1073, 3
2026-06-19T14:16:05.662 230.6,180.0,-91.9,41.76,1056, 3
2026-06-19T14:16:05.763 231.3,180.0,-91.3,41.64,1059, 3
2026-06-19T14:16:05.863 232.7,180.0,-91.4,42.32,1042, 3
2026-06-19T14:16:05.963 235.6,180.0,-90.6,42.40,1040, 3
2026-06-19T14:16:06.063 237.4,180.0,-91.3,42.28,1043, 3
2026-06-19T14:16:06.162 239.9,180.0,-90.7,42.80,1030, 3
2026-06-19T14:16:06.263 241.1,180.0,-91.4,42.08,1048, 3
2026-06-19T14:16:06.363 241.6,180.0,-92.3,41.60,1060, 3
2026-06-19T14:16:06.463 241.8,180.0,-92.4,41.68,1058, 3
